,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Politeness,Text
19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"I haven't ever experience `GetClientRect` returning anything but the full client rectangle, no matter what overlaps it or if it is fully on-screen.  Are you sure?"
20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,do you mean assembly code?  and you want a self modifying application?
21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"""remove all 0's and 1's"". So if your int is 2107900000 you want to get 279?"
22,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,@Praetorian: You had me into tears. I agree to you but is that going to help me with my question?
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Wow! Trivial answer converted to comment! Is this new?
24,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,I don't understand what's wrong with the standard C pre-processor. Can you clarify?
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,why not `fprintf`? is this a homework?
26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"i can input number, number1. skips to letter2 why?"
27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,You don't have any call to `fork()` in your sample program. Is this intentional?
28,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,I think he is talking about the variable length arrays that were added to C in the C99 revision of the language. Is that correct aaa?
29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,how much have you studied yet? Do you want specific questions?
30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,Can we see the function that creates the output? And the output itself?
31,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,"Doing a redundant `atoi` after you just did `strtol` is probably the most twisted insult to the proper use of string-to-int conversion functions in C one can come up with. Why do you see the need to ""re-convert"" the value using the broken function `atoi` when you already have it as `val` from a proper function `strtol`?"
32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,@Francesco: Why are you so against sharing the errors that you are seeing. Why don't you get that they are helpful?
33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,"Let's talk about the error in a little bit more detail, Sergey. What is the output you get and what is the output you expect?"
34,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,"I don't see any inherent problem with what you have done above, and it looks like no one else sees anything, either; can you post more code?   How certain are you that the setfault happens at that particular waitall?"
35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"Other than a missing declaration of 'ss', the code you've provided will get the address of a member of a structure. Can you provide more detail on what isn't working for you?"
36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,"In addition to reformatting, can you try to provide some more info? Where are you stuck, what's going wrong?"
37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Seems like a roundabout way to get an address structure to me. Why not just pass ""2a00:1450:8006::68"" to `getaddrinfo`?"
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"@Thanatos: Interesting, however that statement implies that there are no multibyte string encodings that have embedded null bytes? Is that correct?"
39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I see. Was it talking about that one specifically? :)
40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"By ""implementing square"", do you mean implementing a function such that `f(x) = x^2`, or `f(x) = x`? Also, what is the precise list of operators you are not allowed to use?"
41,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,"I've clarified the question, thanks ax. @runrunraygun: What is a community wiki?"
42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Why? 99% of the time you can convert well written C code to C++ code by just changing the compiler setting. Why not start using C++ code?
43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,Your code will result in 0.5. So what's your problem?
44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"It may be redundant in source, but is it redundant in binary? Is it a good practice to always check code like this because although all statements depend on the ones before them (in program flow), the program flow may change from any number of sources?"
45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,"This looks right, and works for me. What do you see?"
46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,Why not K&R? Was this just an excuse to bad-mouth some books you didn't like?
47,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,"sorry, wasn't really thinking about a definitive question. could we just say that my question is: is my interpretation valid or does it contain some problems?"
48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"What do you mean by ""character""? The drive letter?"
49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,Then you obviously have problem with your fwrite call. Could you provide the code you use?
50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Sooo, what's the problem? Do you get an error when trying to compile the code?"
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"@sarnold It shows 
Number of input = 22936722 49.Can anyone rationalise this strangeness?"
52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,How are `g_rx_buffer` and `BYTE` defined?  What compiler are you using?
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Why this particular number anyway? Is that the one related to some recent bug?
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"@Jeff OK, OK. This is how wiki works though huh?"
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Show more declarations, what is the type of the curr_time2 variable? How is the get_time_in_seconds() function declared?"
56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"Thanks, will check that out. Is there a advantage/disadvantage using setjmp/longjmp over signals as proposed below?"
57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,How are you doing your shared memory? With shm_open and mmap?
58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Who gives you such error? Did you compile your source using `proc` ?
59,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,"I don't think there's any ""optimal"" way to do it other than just scanning the string looking for the delimiters.  Perhaps _you_ could code that yourself?"
60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"@kelton52, then the problem is at compile time rather than run time. There should still be behaviour, error messages from the compiler perhaps?"
61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,How does an object type change dynamically?  Do you have a vehicle base blass and two derived classes: car and bike?
62,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"@ David Thornley: Become a professional-grade programmer, also want participate in coding contest(Codechef, Topcoders),both have equal priorities

What you suggest what kind of preparation i need to take ?"
63,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,I see no question here. What is your question?
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Nope, no sense. What's a conceptual break in this context?"
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,What sort of non-Oracle database ? Is it running on the same machine or over a network ?
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"""doing math on the file as if it were one long number"" sounds like a bad idea!  What method is this?"
67,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,*lol* the war against crackers is stopping our white-hats to learn the trade. Maybe the criminals will go away when we don't know how they do it? ;)
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,And what is the problem? Other than the missing semicolon after name[25]?
69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,The second example in your second question accesses unallocated memory. Was that on purpose?
70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Do you want to check if it looks ok ? Do you want to check if the file exists ?
71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,They are completely different. Have you even glanced at the documentation?
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"To quote Scott Meyers: ""`make`? Who needs stinkin `make`?""."
73,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"qsort does sort lines in increasing order, but your definition of ""increasing"" isn't the same as everybody else's.  Why do you think it's more logical to sort strings by length rather than by alphabetical order?"
74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Depends on your OS. Are you on Linux, Mac, Windows?"
75,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,@dmckee - I wasn't aware that a closed question could be edited. Will an edited closed question generally get reconsideration?
76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,"What does ""repair the sequence by replacing the repeated numbers"" mean? Can you provide an example of the finished product (showing intermediate steps)?"
77,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,"To answer your last question, you want to use `extern ""C""` to prevent the name-mangling. Not sure about the first one yet though; have you verified that you're actually being sent any messages?"
78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Yes, that is the real source code. And the compilation has been performed without optimization, perhaps that is the reason?"
79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,"Since you're only trying to detect gnome vs kde, is there a particular set of distros or configurations you're targeting? How general does the solution have to be?"
80,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,@luser droog: I can surely try! where can I look at that source?
81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,How do you know it's not returning a 64-bit pointer? Have you done `sizeof(void *)` to check?
82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"Do you wish to optimise the code (make it run faster) or refactor the code (make it easier to read/maintain/modify)? If optimise, what are your timings, and how much do you need to reduce it by?"
83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Seems okay to me. What is it supposed to output?
84,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,"What this statement do is giving you ""no hire"" on interview and severe pay cut if found in production code. May be professor will like this answer? :)"
85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,well... where is the problem? what results *are* you getting?
86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,Are you looking for a C program that you can invoke from the command line and that sets the current directory? Or you want to set the current directory within the C program?
87,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,"@Caf, you are right. What was I thinking?"
88,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,"Welcome to Stack Overflow!  Can you be a bit more specific about what you've tried before, what problems you've run into, and what we can help you with?"
89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"This doesn't make sense.  Do you mean ""introspection""?"
90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Can you provide more details?  Did your application launch at all before you received this dialog?
91,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Perhaps also a bit of information about the parameters to `Field()` would help.  Also, are you trying to use a 1D or a 2D array to store the fields?"
92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Why are we reloading the page? Can't one manage all the data to be changed in a stream to the applet directly, or AJAX javascript?"
93,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,The answers all assume a different type of output. Can you give an example of how you want the output to look (or does it just need to be readable?)
94,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,"Sorry to up this, I found it via google, but it seems to work when the private static final field is a primitive type. Does anyone have an idea why ?"
95,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,"I did go through that post, but I was looking for option for both Windows and Mac. is it possible to do this via shell extension ?"
96,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,"I just tried this bc I was thinking along the same lines but for some reason when I implement with my data1.csv file it makes no difference, I think it is because of userID numbering and lettering. Is possible for me to send you the data file, so you can see what I mean?"
97,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,How long does your regression test take to complete?  Surely it should be based on this?
98,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,You think mapping strings to a variable's symbolic name is a good idea?  Why in the world would you think that?
99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,How exactly should the effect look like? Fading out at the borders or something similar?
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,What operating system? What kind of device connection?
101,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,"Nice.. you have almost give us enough details, last question. What is that `System.out.println(e.getCause().toString());` call printing?"
102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,That's a lot of complicated code for something which could probably be shown a lot more simply. Care to provide a much simpler example... and an actual *question* to go with it?
103,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"Youssef, have you had a chance to try one of the suggested approaches/tools for text categorization? If so, how did it work out for you?"
104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,What do you mean by 'documents'? Something that looks like a report or just a spreadsheet full of numbers?
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,is it converted to hex & then the hex is stored as byte array?? but why??
106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,When were closures for JDK 7 cancelled? You have a link confirm this?
107,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"What do you mean by ""URL"", exactly? This is a rather artificial concept with classpath resources - what would you do with that URL?"
108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Since when is `String` a primitive? Since when can you store primitives in a `Collection`?
109,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,Do you have problem with it? Does it work?
110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,this is now the fourth question about the same addcube() function. perhaps there is a larger issue here that just indices?
111,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,"just to verify, can you capture what the generated SQL looks like for a simple get like `Session.get(SecurityContact.class, id)`, hql with `from SecurityContact where securityId = ?` and your left join attempt? Also, what version of Hibernate are you using?"
112,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,I'm afraid it's still unclear what you want to do with roomA and roomB.  Are you trying to list every permuation of the two?
113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"wow, that's perfect.  any one have any suggested ""appliances"" that they like to use?"
114,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,It's unclear what you're trying to do... why are you concatenating the strings if you don't *want* them concatenated? Could you give more sample inputs/outputs?
115,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,"For all downvoters, it may be that english it's not his native language. @varsha: You want to create such an application or you already have one and want to configure it?"
116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"What exactly do you want to warn about, and what exactly do you want the message to be? How is `@Deprecated` itself not meeting your needs?"
117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,"What method *serialized* a `Boolean` to ""true"" and ""false""? Or are you simply talking about producing a `String` from a `Boolean`?"
118,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,"I've tried to understand your question, but it is hard. Can you improve the formatting so that we can see what you are asking?"
119,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,somewhere from the run dialog of JDeveloper. But are you sure you want to use this IDE?
120,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,This sounds bizarre.  Can you explain WHY you have to do it this way?
121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,"So what's the problem? If you can read from server, then you don't know how to read if from local file, do you?"
122,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,We still need more details: do you have your own SMTP server? Or are you using a gmail acccount for instance to send your mail through?
123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Is this homework? IF so, can you be more specific about what you don't understand?"
124,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,"Probably a stupid question, but have you ensured that your machine resolves localhost correctly outside of java?  At the CLI?"
125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,To clarify: Are you using the same connection object to perform all the queries in your application? What specific connection class are you using?
126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,What is the value of isAuthenticated() after the exception is thrown?  Is it possible that isAuthenticated() is then returning true meaning that continue simply causes the loop to exit?
127,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"Well, you're ignoring all caught exceptions. Is an exception being thrown?"
128,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,"I think I know what is the problem.
How can I add 1 sec (or more) of empty audio between this two files?"
129,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"no offense, kid, but you're trying to build a chess game and are struggling to put labels on a board? Don't you think this kind of program is a little bit out of your league?"
130,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,How do you pass the design into jasper? Is it doable to have two designs depending on the option selected?
131,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"Please add some clarification: Do you have a string and you want to know if the string contains a valid double such as 2.56? Or, do you have a list and you want to know if it has duplicates values?"
132,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,smells like homework. what have you tried?
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Do the strings have the same lenght? Would padding all to the length of the longest one be a problem?
134,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,"@Paul W they all just pass through, there's no getting off early. would you think it would be ok to change the initial call to somewhere further down the line to skip a few but use the main interface still ?"
135,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Sounds like possible homework.  What have you tried?
136,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,@pickypg thanks. Can I extend JApplet and use it to the web application?
137,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,I have an application.xml file but not sure how exactly how to use it. Have I missed some settings?
138,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,Why aren't you just doing this.startActivity(intent)? Can you post the logcat?
139,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,What have you tried? What are the difficulties you encounter?
140,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,I'm sure the error says more than that. What else does it say?
141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Meant to ask -- what do you mean by whether the JVM can remember the order of the nodes? If you use a List, isn't it the JVM implementing the list for you?"
142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"@Jack Leow: I tried both running the server in debug mode & inspecting ""content"" and displaying it on the console with System.out.println().

@John Wagenleitner: Any idea as to what could be wrong on my side?"
143,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,You ask and answer your own question? Or am I completely missing out on something?
144,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,"What are you optimizing for? For example, read throughput (concurrent reads from multiple machines), fault tolerance in the face of machines becoming not available, low number of machines... Do you also need writes?"
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,It's still not clear. Does the URL have to contain `.com`?
146,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,I'm not sure what you're asking... it is final; it is marked as such.  Are you wanting to test that its value never changes during the execution of `method`?
147,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Did you restart the server? Why do you need to change it anyway - you can serve content in any locale?
148,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,It reminds me of [APL](http://en.wikipedia.org/wiki/APL_%28programming_language%29). Tell me how comfortable you would be using that as a programming language?
149,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,Can you please post the some sample code.To which panel you are adding this horizontal panel?Is there any spacing between the widgets added in the horizontal panel? or space is there on left side of whole horizontal panel?
150,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,so what is your problem? You don't know how to copy the content?
151,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,I'm being a bit thick but what exactly is the problem...Are you getting an exception? is so what?
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,And ? What is the problem ?
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Why keeps everone calling Java **methods** *functions*? Is that what they're teached at schools nowadays?
154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,"Please post the important parts of what you have now, and what you're having trouble with. Also, what does `stop-and-wait` mean?"
155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,did you finally resolve your problem? did you file a bug-report?
156,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"There already a bunch of free IDE out there, and you want to use Visual Studio ??? You have arguments to not use Eclipse or Netbeans ?"
157,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,"Your question is too vague. What do you want to achieve exactly, and what did you already tried?"
158,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,Your error message tells us nothing. Do you have a detailed log --perhaps you can run it from the command line (as Ravi replied below) and paste the error messages?
159,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"I never understood why sun/etc didn't implement a datespan or timespan class directly.  given a Date or Timestamp class this is the first use case, isn't it?"
160,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,@Marko: Why do you think Swing will be deprecated? And how do you consider javafx to be a replacement?
161,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,"How did you import it into the project? ""Add to build path...""?"
162,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Would 'volatile' really have that effect in C? Don't you mean 'register'?
163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,"@polyg: As I mentioned below, I'm not an expert in Java.  Why are enums more powerful in Java than C++/C#?"
