,LLM,BT_score,sigma
44,yi-1.5-34b-chat,1156.8583024630655,2.05349291151575
45,reka-flash-21b-20240226-online,1155.5434147625335,2.248029557554718
46,llama-3-8b-instruct,1151.8206191779784,1.227198261458513
47,claude-1,1149.0579126428584,2.2011275836627804
48,command-r,1148.3195200341381,1.5350777454910043
49,mistral-medium,1147.737944460502,1.899778844860798
50,reka-flash-21b-20240226,1147.4357931661234,2.0947887459494856
51,qwen1.5-72b-chat,1146.9890854771488,1.4728560202749896
52,mixtral-8x22b-instruct-v0.1,1146.9164223162468,1.780169326798264
53,claude-2.0,1131.6505761038136,2.7916204231883754
54,gemini-pro-dev-api,1131.3989243237777,2.238887772748658
55,gemma-2-2b-it,1129.0084391520227,3.046838639776041
56,zephyr-orpo-141b-A35b-v0.1,1127.6569203113943,4.107509353609855
57,qwen1.5-32b-chat,1125.1819609981947,2.0490139139838965
58,mistral-next,1124.4984609994492,2.393187842500415
59,phi-3-medium-4k-instruct,1122.672640982939,2.1410055698915214
60,starling-lm-7b-beta,1118.608482611897,2.30883950977282
61,claude-2.1,1118.0188594258132,1.7640461229462174
62,gpt-3.5-turbo-0613,1116.8792317431962,1.6624699383519392
63,claude-instant-1,1111.3261300657734,2.216887859493975
64,yi-34b-chat,1111.3886747282024,2.220512576369622
65,gemini-pro,1110.514807068525,4.122276617820094
66,qwen1.5-14b-chat,1108.2738955384445,2.453689887291758
67,gpt-3.5-turbo-0314,1106.6547812600036,4.921090677594173
68,wizardlm-70b,1106.2779347621329,3.030980166425034
69,gpt-3.5-turbo-0125,1105.539969823364,1.335218687773835
70,dbrx-instruct-preview,1103.165223702932,1.7593853912559674
71,phi-3-small-8k-instruct,1101.6451228126293,2.1492268547974955
72,tulu-2-dpo-70b,1099.1774262315905,4.048488685789965
73,llama-2-70b-chat,1092.9785864473656,1.7198177354810213
74,openchat-3.5-0106,1091.974236035494,2.715763907844575
75,vicuna-33b,1090.718400792567,2.091263610037491
76,snowflake-arctic-instruct,1089.599478144782,1.7830887086932654
77,starling-lm-7b-alpha,1088.31280130573,2.660226556859871
78,nous-hermes-2-mixtral-8x7b-dpo,1084.447724722379,4.786617122217515
79,gemma-1.1-7b-it,1083.406237328952,2.0247577806075308
80,llama2-70b-steerlm-chat,1080.5975087979918,4.394937364822676
81,pplx-70b-online,1077.908643076615,3.860417082605817
82,deepseek-llm-67b-chat,1077.3172291834253,3.8792494245474596
83,openchat-3.5,1076.7274139164238,3.4853765808641675
84,openhermes-2.5-mistral-7b,1074.8001109477868,4.045896046071596
85,mistral-7b-instruct-v0.2,1072.645963765538,1.929499976480832
86,qwen1.5-7b-chat,1069.8506822056397,4.293942776951972
87,phi-3-mini-4k-instruct-june-2024,1069.1475823281605,2.9961891468405146
88,gpt-3.5-turbo-1106,1068.1098959694093,2.6263432769662693
89,phi-3-mini-4k-instruct,1065.9662681835857,2.2674524301682397
90,llama-2-13b-chat,1063.4127809947756,2.6104463963937303
91,dolphin-2.2.1-mistral-7b,1062.4139010700278,6.6166937262504995
92,solar-10.7b-instruct-v1.0,1062.1153034596757,4.750861940820351
93,wizardlm-13b,1058.900306348025,4.082951360920701
94,zephyr-7b-beta,1053.6949184645214,3.0273441445200233
95,mpt-30b-chat,1045.6718745489661,6.16345692876773
96,pplx-7b-online,1044.7051504507294,3.92172295043391
97,codellama-34b-instruct,1042.7556526301837,3.7363910617809966
98,vicuna-13b,1041.9458422524485,2.372553924556521
99,codellama-70b-instruct,1041.4026178532279,7.87614729162818
100,zephyr-7b-alpha,1041.1874380887002,7.2228051838369565
101,gemma-7b-it,1037.374282338868,2.849694740375487
102,llama-2-7b-chat,1036.9041988927677,2.6733298938138126
103,phi-3-mini-128k-instruct,1036.2232401258177,2.2398514904390687
104,qwen-14b-chat,1035.1356860346148,3.894521161764064
105,falcon-180b-chat,1032.591308178518,8.190749320542713
106,guanaco-33b,1032.2455271416281,4.838464690223249
107,gemma-1.1-2b-it,1020.3726556229481,2.959904194355781
108,stripedhyena-nous-7b,1016.8455813797876,4.282550692572559
109,olmo-7b-instruct,1015.456017822407,3.969904754256038
110,mistral-7b-instruct,1007.8532504461015,2.949969527148877
111,vicuna-7b,1005.5392867545692,3.429446507353949
112,palm-2,1003.751955905317,3.320500770085122
113,gemma-2b-it,989.1628839452914,4.7823954234891195
114,qwen1.5-4b-chat,988.5191217061641,3.9425842072215747
115,koala-13b,963.8244031769458,4.111777196005064
116,chatglm3-6b,955.798719066854,4.559808875415733
117,gpt4all-13b-snoozy,931.3204531489268,7.0495685667104535
118,mpt-7b-chat,928.1238584445642,5.754341917326837
119,chatglm2-6b,923.3820840755661,5.9841096008307595
120,RWKV-4-Raven-14B,921.7764689533421,4.697810817214921
121,alpaca-13b,901.024643229367,4.457713828369186
122,oasst-pythia-12b,892.8867247233039,4.1118371376883305
123,chatglm-6b,879.1112189015305,4.535656647284525
124,fastchat-t5-3b,868.1632261101992,4.788806071050194
125,stablelm-tuned-alpha-7b,838.8637815906795,5.332850055475276
126,dolly-v2-12b,822.0084242419975,5.804286161071251
127,llama-13b,799.4312912380013,6.333941411796882
